Pro's video,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Label
0008_event_0,39.81,51.34,136.93,144.92,82.65,88.15,14.48,5.42,166.53,149.86,97.35,91.85,159.51,166.84,103.13,101.31,179.39,175.05,0
0010_event_0,36.43,50.63,122.6,143.43,77.2,86.86,8.97,5.94,165.83,172.48,99.46,96.48,170.22,154.59,90.32,108.92,177.81,176.44,0
0014_event_0,27.9,24.23,104.04,115.56,77.44,87.49,1.3,3.85,151.66,172.18,93.09,101.98,171.0,154.89,95.91,103.13,177.91,176.33,0
0019_event_0,39.7,65.56,136.93,175.6,77.47,91.11,19.76,18.94,124.77,174.09,105.98,85.44,154.39,165.64,99.63,108.92,179.8,175.43,0
0021_event_0,21.05,21.33,107.35,99.76,81.41,75.76,4.9,2.67,165.26,161.57,98.27,104.56,166.49,155.36,95.25,100.08,173.17,178.48,0
0025_event_0,51.24,56.45,145.24,148.27,81.47,88.8,12.53,3.02,160.76,170.76,94.09,95.64,165.47,156.7,100.45,107.66,173.89,174.39,0
0027_event_0,33.8,49.7,109.3,138.37,77.41,84.99,1.91,3.67,171.96,164.43,92.61,104.98,178.67,147.88,86.05,107.13,172.87,178.87,0
0029_event_0,48.09,46.86,138.73,147.24,76.61,89.82,14.04,10.56,165.96,153.66,90.0,103.57,165.96,151.5,104.04,104.93,176.09,170.78,0
0041_event_0,31.1,27.77,118.61,112.49,78.05,87.59,9.46,2.87,180.0,164.14,99.46,94.9,153.84,169.91,106.7,95.19,172.18,171.62,0
0042_event_0,26.24,27.11,107.27,113.39,78.52,82.55,2.51,3.73,162.95,175.7,94.9,104.04,166.74,157.35,98.37,98.62,179.2,175.48,0
0051_event_0,30.83,14.96,132.66,105.11,78.83,80.01,23.01,10.14,174.39,110.19,99.95,101.21,148.44,153.58,111.61,105.2,171.94,171.49,0
0060_event_0,37.36,52.24,120.91,142.24,80.54,86.59,3.01,3.41,165.1,173.07,93.58,99.3,165.53,148.69,100.89,112.01,173.66,172.87,0
0066_event_0,28.53,42.25,130.48,137.97,78.12,88.38,23.83,7.35,129.22,160.17,92.79,100.71,164.87,160.12,102.34,99.16,171.47,179.7,0
0072_event_0,34.5,41.59,105.37,127.53,77.09,93.48,6.22,7.54,178.45,174.39,91.91,97.52,165.89,158.8,102.2,103.67,173.37,175.07,0
0074_event_0,31.74,48.95,122.37,141.34,81.44,84.48,9.18,7.91,157.7,171.87,96.17,97.91,165.7,161.09,98.13,101.0,175.45,177.13,0
0084_event_0,29.5,41.27,126.87,142.09,75.42,85.94,21.94,14.88,146.07,171.4,88.32,110.32,180.0,152.55,91.68,97.13,174.56,174.79,0
0098_event_0,23.07,27.87,105.95,124.99,76.09,92.61,6.79,4.51,157.38,153.43,93.21,98.09,166.3,161.07,100.49,100.84,179.2,177.67,0
0102_event_0,27.78,40.68,128.09,142.9,80.19,87.18,20.12,15.04,139.76,166.45,91.68,100.95,167.43,158.16,100.89,100.89,175.45,173.78,0
0110_event_0,27.91,38.33,104.5,129.89,82.06,79.91,5.47,11.65,171.64,171.6,90.41,107.61,167.88,159.44,101.71,92.94,179.22,174.18,0
0114_event_0,23.49,43.38,107.23,142.13,84.19,81.3,0.45,17.45,170.08,180.0,87.06,107.45,173.21,153.09,99.73,99.46,175.63,175.89,0
0115_event_0,29.41,46.19,109.29,143.3,82.97,80.14,3.09,16.97,172.87,171.12,90.09,106.8,176.57,150.01,93.34,103.19,179.61,175.19,0
0116_event_0,22.83,40.6,105.57,137.73,81.09,83.09,1.65,14.04,163.68,166.49,90.94,104.89,168.78,157.06,100.29,98.06,177.83,173.72,0
0118_event_0,32.47,49.4,115.17,141.25,82.25,82.94,0.45,8.91,163.44,174.2,93.18,101.63,170.11,156.39,96.71,101.98,179.58,173.38,0
0127_event_0,44.05,30.83,134.76,127.5,81.78,89.05,8.93,7.63,170.08,150.98,91.54,97.63,162.12,163.66,106.34,98.71,175.32,177.6,0
0148_event_0,16.7,28.3,102.8,114.78,76.95,86.95,9.15,0.48,150.94,173.81,89.36,106.73,178.3,147.91,92.34,105.35,178.22,169.35,0
0150_event_0,40.58,52.42,131.07,145.05,73.12,98.97,17.37,6.34,164.83,169.95,97.91,90.0,157.56,172.41,104.53,97.59,173.06,174.1,0
